id,escolas_postos,bairro,endereço,lat,lon,quantidade,tipo
663,EM CIENTISTA MARIO KROEFF,PENHA,"RUA DO COUTO, 91","-22,83896","-43,27517",426.0,EM
121,EM DILERMANDO CRUZ,RAMOS,"AV. TEIXEIRA DE CASTRO, 407","-22,85386","-43,25245",167.0,EM
161,E.M JOAO DE DEUS,PENHA CIRCULAR,PCA. ALMEIDA GARRET S/No,"-22,82994","-43,28210",509.0,EM
263,EM PADRE MANUEL DE NOBREGA,VIGARIO GERAL,"PRACA ELBA, 1215","-22,85713","-43,26416",292.0,EM
118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,BONSUCESSO,RUA PRINCIPAL S/N.o,"-22,85782","-43,24045",210.0,
140,EM PEDRO LESSA,BONSUCESSO,"RUA ADAIL, 49","-22,86047","-43,25428",153.0,EM
260,EM PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AV. BRASIL 4040 RUA DA VITORIA,"-22,87373","-43,24071",,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,87608","-43,34336",468.0,ESCOLA
090,EM THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR S/No,"-22,81631","-43,34014",67.0,EM
274,EM ABEILARD FEIJO,CACUIA,ESTRADA DA CACUIA 1386,"-22,80769","-43,18155",561.0,EM
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,JARDIM GUANABARA,"RUA SERENATA, 40","-22,81244","-43,20965",180.0,ESCOLA
390,E.M. ANDREA FONTES PEIXOTO,PARQUE COLUMBIA,RUA FAUSTO E CASTRO S/No,"-22,81631","-43,34014",257.0,EM
608,EM GRANDJEAN DE MONTIGNY,PAVUNA,"PRACA DOS UCRANIANOS, S/No","-22,81389","-43,37392",260.0,EM
589,EM MARIO PIRAGIBE,ANCHIETA,"PRACA NOSSA SENHORA DAS DORES, S/No","-22,82558","-43,39207",317.0,EM
256,ESCOLA MUNICIPAL PARAIBA,ANCHIETA,ESTRADA MARECHAL ALENCASTRO 4.035,"-22,82636","-43,40288",345.0,ESCOLA
091,E.M. PIAUI,GUADALUPE,AVENIDA BRASIL 23.364,"-22,84541","-43,37852",,EM
090,EM THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR S/No,"-22,81631","-43,34014",67.0,EM
248,E.M. ASPIRANTE CARLOS ALFREDO,TURIACU,RUA IBIA 105,"-22,86084","-43,34455",513.0,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,87608","-43,34336",468.0,ESCOLA
623,EM CECILIA MEIRELES,VILA KOSMOS,"R. SD. SERVINO MENGARDA, 260","-22,84944","-43,30378",416.0,EM
603,EM ESPIRITO SANTO,CAVALCANTI,"RUA HERCULANO PENA, S/N","-22,87429","-43,31471",352.0,EM
673,ESCOLA MUNICIPAL GRECIA,VILA DA PENHA,"AV. BRAZ DE PINA, 1614","-22,83783","-43,31253",393.0,ESCOLA
089,EM MARIO CLAUDIO,RIO COMPRIDO,"R. HADDOCK LOBO, 148","-22,91723","-43,21104",473.0,EM
520,EM BARONESA DE SAAVEDRA,REALENGO,"R. MAL. BIBIANO COSTALAT, 483-639","-22,87185","-43,43243",136.0,EM
412,EM MOZART LAGO,OSWALDO CRUZ,RUA JOSE CARVALHO SALGADO S/N.o,"-22,87221","-43,35033",,EM
031,E.M. PARA,ROCHA MIRANDA,AV. DOS ITALIANOS 500,"-22,85196","-43,34949",115.0,EM
514,EM PARANA,CASCADURA,AV. ERNANI CARDOSO 316,"-22,88240","-43,33811",534.0,EM
023,EM CERVANTES,BENTO RIBEIRO,RUA ABILIO DOS SANTOS 170,"-22,86459","-43,36595",342.0,EM
415,ESCOLA MUNICIPAL LUIZ DE CAMOES,COLEGIO,"ESTR. LUIZDE CAMOES, 1446","-22,84604","-43,33866",152.0,ESCOLA
016,CIEP JOAO BATISTA DOS SANTOS,CIDADE DE DEUS,"RUA EDGAR WERNECK, 1.565","-22,94710","-43,35973",430.0,CIEP
570,EM HELENA LOPES ABRANCHES,GARDENIA AZUL,RUA ACAPORI 495,"-22,96072","-43,35343",466.0,EM
528,CIEP MARGARET MEE,RECREIO,RUA MINISTRO ALIOMAR BALEEIRO S/No,"-23,01981","-43,48172",51.0,CIEP
414,EM CLAUDIO BESSERMAN VIANNA - BUSSUNDA,RIO DAS PEDRAS,ESTRADA DE JACAREPAGUA 3327,"-22,97335","-43,32915",26.0,EM
690,ESCOLA MUNICIPAL FINLANDIA,CAMORIM,R. IGARAPE-ACU,"-22,97198","-43,41011",94.0,ESCOLA
202,E.M. PROFESSOR TEOFILO MOREIRA DA COSTA,VARGEM GRANDE,RUA ESPERANCA 387,"-22,98172","-43,49163",121.0,EM
550,EM 25 DE ABRIL,FREGUESIA JPA,RUA MAMORE 78,"-22,93816","-43,34257",128.0,EM
211,EM FRANCIS HIME,TAQUARA,ESTRADA PAU DA FOME 196,"-22,91883","-43,41625",520.0,EM
206,EM HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,"-22,89693","-43,35266",392.0,EM
492,EM MENEZES CORTES,FREGUESIA JPA,PRACA JOSE ALVES DE AZEVEDO 43,"-22,94265","-43,33896",,EM
466,ESCOLA MUNICIPAL NELSON RODRIGUES,TAQUARA,RUA FREI LUIZ ALEVATO S/Ndeg,"-22,93532","-43,36972",279.0,ESCOLA
636,EM PABLO NERUDA,TAQUARA,"ESTRADA DO MAPUA, S/No RUA 3","-22,92688","-43,38788",161.0,EM
527,EM VIRGILIO VARZEA,PECHINCHA,RUA JOSE SILVA 155,"-22,93253","-43,35113",179.0,EM
586,CIEP ANTONIO EVARISTO DE MORAES,SENADOR CAMARA,AVENIDA DE SANTA CRUZ S/Ndeg,"-22,88179","-43,48732",194.0,CIEP
080,E.M. JOSE MAURO DE VASCONCELOS,BANGU,RUA MARLIERIA S/No,"-22,85043","-43,46685",599.0,EM
398,EM LEONARDO DA VINCI,BANGU,RUA RENATO REBECCHI S/N.deg,"-22,89252","-43,47295",315.0,EM
175,E.M. NACOES UNIDAS,BANGU,RUA DOS LIMADORES S/Ndeg,"-22,88814","-43,47629",435.0,EM
308,CIEP THOMAS JEFFERSON,REALENGO,ESTRADA DO ENGENHO NOVO S/No,"-22,86652","-43,42514",400.0,CIEP
520,EM BARONESA DE SAAVEDRA,REALENGO,"R. MAL. BIBIANO COSTALAT, 483-639","-22,87185","-43,43243",136.0,EM
576,EM CORYNTHO DA FONSECA,REALENGO,RUA URUQUE S/N.deg,"-22,85894","-43,44387",148.0,EM
495,EM. ENGENHEIRO LAFAYETTE DE ANDRADA,DEODORO,"AV. DUQUE DE CAXIAS, 170","-22,85608","-43,38660",128.0,EM
379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES, S/No","-22,89557","-43,57050",109.0,CIEP
