id,escolas_postos,bairro,endereço,lat,lon,quantidade,tipo
398,EM LEONARDO DA VINCI,BANGU,RUA RENATO REBECCHI S/N.deg,"-22,892527","-43,472954",315.0,EM
175,E.M. NACOES UNIDAS,BANGU,RUA DOS LIMADORES S/Ndeg,"-22,888146","-43,476291",435.0,EM
308,CIEP THOMAS JEFFERSON,REALENGO,ESTRADA DO ENGENHO NOVO S/No,"-22,866522","-43,425149",400.0,CIEP
520,EM BARONESA DE SAAVEDRA,REALENGO,"R. MAL. BIBIANO COSTALAT, 483-639","-22,87185","-43,432432",136.0,EM
576,EM CORYNTHO DA FONSECA,REALENGO,RUA URUQUE S/N.deg,"-22,858945","-43,443874",148.0,EM
495,EM. ENGENHEIRO LAFAYETTE DE ANDRADA,DEODORO,"AV. DUQUE DE CAXIAS, 170","-22,856087","-43,386608",128.0,EM
379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES, S/No","-22,895575","-43,570508",109.0,CIEP
641,EM LAURO MULLER,PADRE MIGUEL,"R. ROSA DE ALMEIDA, 113","-22,882073","-43,44644",269.0,EM
689,EM MOACIR PADILHA,PADRE MIGUEL,RUA GENERAL GOMES DE CASTRO 30,"-22,868766","-43,450652",571.0,EM
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,REALENGO,AVENIDA CANAL S/Ndeg,"-22,883457","-43,429451",235.0,ESCOLA
477,EM PAULO MARANHAO,REALENGO,RUA DO GOVERNO 866,"-22,892991","-43,441219",187.0,EM
206,EM HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,-22896931,-43352667,392.0,EM
687,EM TASSO DA SILVEIRA,REALENGO,RUA GENERAL BERNARDINO DE MATOS S/N.o,"-22,883859","-43,41733",,EM
568,EM VISCONDE DE PORTO SEGURO,JARDIM SULACAP,RUA TEOFILO GUIMARAES 604,"-22,889076","-43,39248",362.0,EM
399,CIEP CLEMENTINA DE JESUS,CAMPO GRANDE,AV. ALHAMBRA S/No,"-22,925293","-43,566649",71.0,EM
255,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,SENADOR VASCONCELOS,ESTRADA MORICABA S/No,"-22,925293","-43,566649",591.0,CIEP
262,CIEP HERIVELTO MARTINS,AUGUSTO VASCONCELOS,"PRACA SANTO ANASTACIO, S/N","-22,886489","-43,528802",221.0,CIEP
379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES, S/No","-22,895575","-43,570508",109.0,CIEP
616,CIEP PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,"R. CONCHAS, S/N","-22,887297","-43,587359",372.0,CIEP
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COSMOS,"R. PEQUIA, 97","-22,910969","-43,616053",479.0,
144,EM ALFREDO CESARIO ALVIM,CAMPO GRANDE,"RUA RIO DA PRATA, R. LUISA MARILAC, 20","-22,923154","-43,518773",99.0,EM
534,EM CORA CORALINA,CAMPO GRANDE,RUA VOTORANTIM S/N KM 10 MENDANHA,"-22,858781","-43,537047",157.0,EM
342,E.M FERNANDO COSTA,CAMPO GRANDE,"RUA JOSE ALBANO, S/No","-22,89036","-43,593991",296.0,EM
052,E.M PROFESSOR PAULO SILVA,INHOAIBA,RUA JAIRO CORREA S/No,"-22,908586","-43,584735",330.0,EM
139,EM JESUS SOARES PEREIRA,CAMPO GRANDE,R. CONSOLACAO 138,"-22,919593","-43,546838",316.0,EM
323,CIEP ISMAEL NERY,SANTA CRUZ,AVENIDA CESARIO DE MELO S/Ndeg,"-22,934157","-43,66213",106.0,CIEP
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,PACIENCIA,RUA CABO SAULO DE VASCONCELOS S/N.o,"-22,888549","-43,638052",207.0,
560,EM ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,RUA FELIPE CARDOSO 750,"-22,92139","-43,68058",308.0,EM
246,EM FERNANDO AZEVEDO,SANTA CRUZ,RUA DAS PALMEIRAS IMPERIAIS S/No,"-22,923065","-43,692332",459.0,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,876082","-43,343369",468.0,ESCOLA
319,EM MARECHAL PEDRO CAVALCANTI,PACIENCIA,RUA PORTO FIRME S/N.o,"-22,924853","-43,632891",537.0,EM
584,ESCOLA MUNICIPAL NELSON ROMERO,SEPETIBA,RUA JOSE BALDINO S/N.o,"-22,971739","-43,697354",342.0,ESCOLA
311,EM PESTALOZZI,SANTA CRUZ,RUA SEVERIANO DAS CHAGAS S/No,"-22,915717","-43,679753",162.0,EM
316,EM PROFESSORA FLAVIA DOS SANTOS SOARES,PACIENCIA,RUA EUDALDO GOMES DA SILVA S/N.o CONJ URUCANIA,"-22,914027","-43,653436",579.0,EM
497,E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,AVENIDA MARIO PEREIRA DOS SANTOS S/N.o,"-22,873187","-43,627731",517.0,EM
297,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,AVENIDA CANAL 3 S/N.o CONJ. CESARAO,"-22,930111","-43,652899",,EM
068,EM WALQUIR PEREIRA,NOVA SEPETIBA,ESTRADA DE SEPETIBA S/N BLOCO 1,"-22,956014","-43,686746",135.0,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,876082","-43,343369",468.0,ESCOLA
515,CIEP HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,"ESTRADA DA PEDRA, S/N.o","-22,974506","-43,648171",341.0,CIEP
289,EM BERTHA LUTZ,GUARATIBA,ESTRADA DO PIAI 2075,"-22,979064","-43,67058",329.0,EM
210,EM DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,RUA BELCHIOR DA FONSECA 643,"-23,001416","-43,638757",570.0,EM
474,EM ENGENHEIRO GASTAO RANGEL,GUARATIBA,ESTRADA DO MAGARCA 9.183,"-22,98046","-43,643545",320.0,EM
301,EM JONATAS SERRANO,GUARATIBA,"ESTRADA DO MATO ALTO, S/No","-22,953163","-43,577409",335.0,EM
215,E.M. NARCISA AMALIA,ILHA DE GUARATIBA,ESTRADA TEODORETO DE CAMARGO S/N.o,"-23,009084","-43,537582",,EM
606,EM PROFESSOR CASTILHO,ILHA DE GUARATIBA,CAMINHO DA MATRIZ 4406,"-22,994124","-43,593683",521.0,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,876082","-43,343369",468.0,ESCOLA
